# format org.openvanilla.mcbopomofo.sorted
三-ㄙㄢ-八-ㄅㄚ -5.2064
三-ㄙㄢ-分-ㄈㄣ -4.5371
三-ㄙㄢ-分-ㄈㄣ-之-ㄓ-一-ㄧ -4.5903
三-ㄙㄢ-分-ㄈㄣ-之-ㄓ-二-ㄦˋ -4.8723
三-ㄙㄢ-十-ㄕˊ -3.7271
三-ㄙㄢ-十-ㄕˊ-一-ㄧ -4.7504
三-ㄙㄢ-十-ㄕˊ-七-ㄑㄧ -5.0405
三-ㄙㄢ-十-ㄕˊ-三-ㄙㄢ -4.9219
三-ㄙㄢ-十-ㄕˊ-五-ㄨˇ -4.7150
三-ㄙㄢ-十-ㄕˊ-八-ㄅㄚ -4.9680
三-ㄙㄢ-十-ㄕˊ-六-ㄌㄧㄡˋ -4.8244
三-ㄙㄢ-十-ㄕˊ-四-ㄙˋ -4.9649
三-ㄙㄢ-十-ㄕˊ-多-ㄉㄨㄛ -4.9302
三-ㄙㄢ-十-ㄕˊ-幾-ㄐㄧˇ -5.3239
三-ㄙㄢ-十-ㄕˊ-萬-ㄨㄢˋ -4.9560
三-ㄙㄢ-千-ㄑㄧㄢ -4.3990
三-ㄙㄢ-千-ㄑㄧㄢ-多-ㄉㄨㄛ -5.1888
三-ㄙㄢ-合-ㄏㄜˊ -5.2257
三-ㄙㄢ-合-ㄏㄜˊ-一-ㄧ -5.1838
三-ㄙㄢ-國-ㄍㄨㄛˊ -5.2848
三-ㄙㄢ-大-ㄉㄚˋ -5.0684
三-ㄙㄢ-天-ㄊㄧㄢ -4.7771
三-ㄙㄢ-峽-ㄒㄧㄚˊ -4.9407
三-ㄙㄢ-年-ㄋㄧㄢˊ -4.0670
三-ㄙㄢ-年-ㄋㄧㄢˊ-級-ㄐㄧˊ -4.8288
三-ㄙㄢ-成-ㄔㄥˊ -5.0630
三-ㄙㄢ-日-ㄖˋ -4.5595
三-ㄙㄢ-星-ㄒㄧㄥ -5.2759
三-ㄙㄢ-月-ㄩㄝˋ -4.3722
三-ㄙㄢ-次-ㄘˋ -4.9929
三-ㄙㄢ-歲-ㄙㄨㄟˋ -5.1633
三-ㄙㄢ-民-ㄇㄧㄣˊ -5.1367
三-ㄙㄢ-民-ㄇㄧㄣˊ-主-ㄓㄨˇ-義-ㄧˋ -5.3263
三-ㄙㄢ-溫-ㄨㄣ-暖-ㄋㄨㄢˇ -5.3037
三-ㄙㄢ-百-ㄅㄞˇ -4.2253
三-ㄙㄢ-百-ㄅㄞˇ-六-ㄌㄧㄡˋ-十-ㄕˊ -5.1470
三-ㄙㄢ-百-ㄅㄞˇ-多-ㄉㄨㄛ -4.9680
三-ㄙㄢ-百-ㄅㄞˇ-萬-ㄨㄢˋ -4.9649
三-ㄙㄢ-級-ㄐㄧˊ -5.2848
三-ㄙㄢ-萬-ㄨㄢˋ -4.7048
三-ㄙㄢ-號-ㄏㄠˋ -5.0142
三-ㄙㄢ-角-ㄐㄧㄠˇ -4.8709
三-ㄙㄢ-角-ㄐㄧㄠˇ-形-ㄒㄧㄥˊ -5.3171
三-ㄙㄢ-讀-ㄉㄨˊ -5.0939
三-ㄙㄢ-讀-ㄉㄨˊ-通-ㄊㄨㄥ-過-ㄍㄨㄛˋ -5.0064
